DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Anaerococcus_ASV-7	#e7b9d8	AD_shared
g__Micrococcus_ASV-1	#e7b9d8	AD_shared
g__Catonella_ASV-1	#e7b9d8	AD_shared
g___ASV-138	#e7b9d8	AD_shared
g__Anaerococcus_ASV-4	#e7b9d8	AD_shared
g___ASV-120	#e7b9d8	AD_shared
g__Alloprevotella_ASV-6	#e7b9d8	AD_shared
g___ASV-133	#e7b9d8	AD_shared
g___ASV-149	#e7b9d8	AD_shared
g__Brevundimonas_ASV-4	#e7b9d8	AD_shared
g__Streptococcus_ASV-10	#e7b9d8	AD_shared
g__Streptococcus_ASV-1	#e7b9d8	AD_shared
g__Brevundimonas_ASV-2	#e7b9d8	AD_shared
g__Streptococcus_ASV-7	#e7b9d8	AD_shared
g___ASV-20	#e7b9d8	AD_shared
g__Anaerobutyricum_ASV-2	#e7b9d8	AD_shared
g__Acinetobacter_ASV-15	#e7b9d8	AD_shared
g___ASV-36	#e7b9d8	AD_shared
g___ASV-48	#e7b9d8	AD_shared
g__Pseudomonas_E_647464_ASV-1	#e7b9d8	AD_shared
g__Lancefieldella_ASV-2	#e7b9d8	AD_shared
g__Bifidobacterium_388775_ASV-2	#e7b9d8	AD_shared
g__Blautia_A_141781_ASV-5	#e7b9d8	AD_shared
g__Prevotella_ASV-41	#e7b9d8	AD_shared
g__Comamonas_F_589250_ASV-1	#e7b9d8	AD_shared
g__Fusobacterium_C_ASV-8	#e7b9d8	AD_shared
g__Lautropia_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-35	#e7b9d8	AD_shared
g__Massilia_ASV-6	#e7b9d8	AD_shared
g__Dolosigranulum_ASV-1	#e7b9d8	AD_shared
g__Cutibacterium_ASV-1	#e7b9d8	AD_shared
g__Gemmiger_A_73129_ASV-1	#e7b9d8	AD_shared
g__Luteimonas_C_615545_ASV-1	#e7b9d8	AD_shared
g__Leuconostoc_B_ASV-3	#e7b9d8	AD_shared
g__Lactobacillus_ASV-5	#e7b9d8	AD_shared
g__Microvirga_ASV-1	#e7b9d8	AD_shared
g__Pseudomonas_B_650451_ASV-1	#e7b9d8	AD_shared
g__Streptococcus_ASV-6	#e7b9d8	AD_shared
