DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Flavobacterium_ASV-1	#ffd17f	H_nose_only
g__Prevotella_ASV-45	#ffd17f	H_nose_only
g___ASV-112	#ffd17f	H_nose_only
g__Lautropia_ASV-1	#ffd17f	H_nose_only
g__Alloprevotella_ASV-3	#ffd17f	H_nose_only
g___ASV-18	#ffd17f	H_nose_only
g__Kerstersia_ASV-2	#ffd17f	H_nose_only
g__Rothia_ASV-6	#ffd17f	H_nose_only
g__Corynebacterium_ASV-19	#ffd17f	H_nose_only
g___ASV-147	#ffd17f	H_nose_only
g__Anaerococcus_ASV-10	#ffd17f	H_nose_only
g__Prevotella_ASV-32	#ffd17f	H_nose_only
g__Prevotella_ASV-43	#ffd17f	H_nose_only
g__Leptotrichia_A_993758_ASV-12	#ffd17f	H_nose_only
g__Nocardioides_A_392796_ASV-5	#e7b9d8	H_shared
g__Acinetobacter_ASV-5	#e7b9d8	H_shared
g__Sphingomonas_L_486704_ASV-9	#e7b9d8	H_shared
g__Marinococcus_ASV-1	#e7b9d8	H_shared
g__Shewanella_ASV-1	#e7b9d8	H_shared
g__Dietzia_ASV-1	#e7b9d8	H_shared
g___ASV-5	#e7b9d8	H_shared
g___ASV-63	#e7b9d8	H_shared
g__Brevibacterium_ASV-5	#e7b9d8	H_shared
g__Prevotella_ASV-8	#e7b9d8	H_shared
g__Prevotella_ASV-5	#e7b9d8	H_shared
g__Pauljensenia_ASV-2	#e7b9d8	H_shared
g__Solirubrobacter_ASV-1	#e7b9d8	H_shared
g___ASV-4	#e7b9d8	H_shared
g__Facklamia_A_322620_ASV-1	#e7b9d8	H_shared
g___ASV-30	#e7b9d8	H_shared
g___ASV-55	#e7b9d8	H_shared
g__Sphingomonas_L_486704_ASV-7	#e7b9d8	H_shared
g__Bradyrhizobium_ASV-1	#e7b9d8	H_shared
g__Weissella_A_338544_ASV-3	#e7b9d8	H_shared
g___ASV-21	#e7b9d8	H_shared
g___ASV-73	#e7b9d8	H_shared
