Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Lautropia,0.0008707461137086,0.0003156937358992,0.0005744309897993,0.000586956946469,0.0002267722208455
 g__Aeromonas,0.0007944292612691,0.0004278897504657,0.0005156041195671,0.0005793077104340001,0.00023480851897149998
 g__Filifactor,0.0002754453629093,0.0010638454931122,0.0002746913407559,0.0005379940655924,0.0003974739578116
 g__Nitrosocosmicus,0.0006631983405403,0.0002312035527457,0.0008282503267292,0.0005742174066717,0.0002517332152962
 g__Moryella,0.0009553770603732,0.0004992777353519,0.0001682518059133,0.0005409688672128,0.0003226919629295
 g__Allosphingosinicella,0.0007778592677555,0.0005790459195048,0.0003346593256291,0.0005638548376298,0.0001812541933337
 g__Fenollaria,0.0007686921782533,0.0007649846554703,0.0,0.0005112256112411,0.00036157249233440003
 g__Pseudomonas_B_650326,0.000947651881013,0.0,0.0005483064312148,0.0004986527707425,0.000402945048476
 g__Shewanella,0.0002774904325722,0.0009226226527957,0.00032292266791752647,0.0005076785844284,0.0003330354711816327
 g__Bosea,0.0009227548450146,0.0002354384198112058,0.000288707292116,0.0004823001856472665,0.00038670592228052755
 g__Ruminococcus_B,0.00013841795257108562,0.0005609242196235,0.000779608783783392,0.0004929836519926244,0.00031006309716049516
 g__Metamycoplasma,0.0,0.0007022212603509999,0.0007111365706300001,0.0004711192769936,0.0003407943837378
 g__Chryseomicrobium_303841,0.0002969488457902,0.0007868346814912,0.0003988608180072,0.0004942147817629,0.0002110549956892
 g__Pseudoglutamicibacter,0.0005090254419166686,0.0007746203301181837,0.0001640551889147,0.0004825669869831841,0.0002500857150436917
 g__Clostridium_R_135822,0.0006670317845028,0.000717222241936,0.0,0.0004614180088129,0.00032691457054
 g__Ruminococcus_E,0.0002447821697529951,0.0006468251312275999,0.0006004018878444,0.000497336396275,0.0001812773551057253
 g__Comamonas_F_589250,0.00022314986749664948,0.000747601184898,0.0004557589171061906,0.0004755033231669063,0.00026329081757581787
