Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Bacillus_P_294101,0.0009889254841701002,0.00013994428772458887,0.0014871000626629934,0.0008719899448525275,0.000713866903312566
 g__Intestinibacter,0.0006720612437817598,0.001507666795054,0.0005658073516582647,0.000915178463498,0.00042119308433439997
 g__Bariatricus,0.0007114403123676,0.001346743029241,0.0005798055821010752,0.0008793296412365,0.0005294745240421
 g__Rhodococcus_376336,0.0008020412786195844,0.0009944693878404564,0.0008312051003063815,0.0008759052555888156,0.0003970738923101913
 g__Lawsonibacter,0.0011415426019188,0.0002693635794181,0.0011278469644776,0.0008462510486048,0.0004079593580246
 g__Paratractidigestivibacter,0.000372053125754737,0.0007317914938784603,0.0013555011420749,0.0008197819205693,0.0004506318763059
 g__Hominicoprocola,0.0009575232863162951,0.0009561466382723768,0.0004866582259252489,0.0008001093835045732,0.00044065948283786814
 g__Vibrio_A_678206,0.0001253892434304,0.0014420855852139,0.0007182756222127,0.0007619168169523,0.0005384240766813
 g__Alistipes_A_871400,0.00038421034276731313,0.0003509220853497887,0.0015129988097000195,0.0007493770792724893,0.0005744814166142283
 g__Limosilactobacillus,0.001098381041731425,0.00024879181309532316,0.0009764371263947833,0.000774536660407175,0.00045880939095883596
 g__Haemophilus_A,0.0007914709196088,0.0009641148221289202,0.0008078107702185937,0.0008544655039853713,7.825210662818398e-05
 g__Deinococcus_B,0.0008434654465795295,0.0008456065674308079,0.00039651294553157075,0.0006951949865138669,0.0006014186833420387
 g__Solirubrobacter,0.0004835300889554146,0.0008037093681714762,0.0008768094868240372,0.0007213496479835979,0.0004480598373027474
 g__Bradyrhizobium_503372,0.0004575048402007,0.0007403187965121,0.0010760688124702,0.0007579641497276,0.0002729426038824
 g__Parvimonas,0.0006881760348775394,0.0004672672426708986,0.0008822985407951604,0.000679247272781167,0.0004920047966186953
 g__Marmoricola_A_392027,0.00026972826003219185,0.0006516919324394408,0.0011512162276814,0.0006908788067176528,0.0004398228517216156
 g__Sarcina_200052,0.00020579676018669658,0.0011680325305337114,0.0006612765998113611,0.0006783686301772565,0.00039311674381074633
 g__Phenylobacterium,0.0009709343597500339,0.0002647167187743312,0.0007839709473973385,0.0006732073419739407,0.00039524202871459463
 g__Dictyoglomus,0.0011276386056253,0.0004488179768046533,0.00048238083012430006,0.000686279137518,0.0003391193194651
 g__Caulobacter_487784,0.0007124061555758147,0.0005388894307630022,0.0009146206730942303,0.000721972086477649,0.00016248365708913855
 g__Kineococcus,0.0006007648740828,0.0,0.0012747719926645999,0.0006251789555825,0.0005305009103971
 g__Campylobacter_A_477346,0.00046771023689375085,0.0008023655507464001,0.0007901048814038232,0.0006867268896812998,0.00026576480656844364
 g__Acetatifactor,0.00024908899774439997,0.0002490738774802,0.0013310736971517375,0.0006097455241254452,0.0005633910280764456
 g__Gluconobacter_A_506042,0.0007408360016206,0.0010924849540490517,0.0,0.0006111069852232218,0.0005058922945087098
 g__Rhodopila_506777,0.00010955234458347881,0.000639278359683,0.001055962149028866,0.0006015976177650236,0.000494848021682368
 g__Ochrobactrum_A_499027,0.0006633794113425408,0.0008930265105152001,0.0004542953644922641,0.0006702337621165683,0.00020208554058208698
 g__Methylibium,0.0004835277853733009,0.00024971142064012154,0.0011005738813018,0.0006112710291051076,0.00041510465444766486
 g__Coprococcus_A_187866,0.0008985632840660361,0.0003430465056857235,0.0007098114718847,0.0006504737538787532,0.00025719508931403777
 g__Alitiscatomonas,0.0005203172146937001,0.0006240146524343653,0.0007122901624584441,0.0006188740098621151,0.0003211567309802181
 g__Anaerostipes,0.0005696870247344986,0.0007852301678573616,0.0006648946754453378,0.0006732706226790993,9.290959839707878e-05
 g__Peptoniphilus_B_226777,0.0008986840952666,0.0002787251490227,0.0006355261746337,0.0006043118063077,0.0002540577707916
 g__Rubellimicrobium,0.0004171742303301,0.0004808516214835,0.0009127499672449438,0.0006035919396861479,0.0002244882547377922
 g__Varibaculum,0.00046528352605860004,0.0008194727462629182,0.0005339345950806182,0.0006062302891340413,0.00020378823897080717
 g__Pseudoxanthomonas_A_615336,0.0011116097317383,0.0,0.0005159469970448,0.0005425189095944,0.0004542015696628
 g__Thermus_A,0.0005978281611912,0.0009918532543711999,3.9376175487740025e-05,0.0005430191970167,0.0004329794612129
 g__Micromonospora_H_372070,0.0006867226700166377,0.0006093112649711,0.00045219456343389996,0.0005827428328072414,0.00024300273171854093
 g__Faecalibacillus,0.0003842430018888,0.0008402055464537646,0.0005616300130238903,0.0005953595204555183,0.0001881858602433681
 g__Fannyhessea,0.0004395465106969959,0.0009623074011133766,0.0002917898874687,0.0005645479330929909,0.00029269650059835075
 g__Centipeda,0.0005874613757173265,0.0007981544300778614,0.0003323593233645704,0.000572658376386525,0.00025806628373910653
 g__Agathobaculum,0.0005903518726363394,0.0004770428238170135,0.0005473195862113287,0.0005382380942214,0.0003784524151841703
 g__Roseburia_C,0.0007184726242912,0.0008597269554329,2.368466573803478e-05,0.000533961415154,0.0003653992950755
 g__Ruminococcus_B,0.0004984522027391,0.0006260593918103,0.0005626338781728,0.0005623818242407,0.0002076274405759
 g__Klebsiella_724518,0.0007681383224890822,0.00023001550623963365,0.0006029656239126,0.0005337064842137387,0.0003125272566329443
 g__F0058,0.0006396968974174735,0.0005700319278072289,0.0005265461718264,0.0005787583323503,0.0001251260054535536
 g__Stenotrophomonas_A_615274,0.0003381537318113708,0.0005701966926672758,0.000698496196832449,0.0005356155404370557,0.00027529657871416515
 g__Parabacteroides_B_862066,0.000712736167166,0.0005431890324631298,0.000400445646642737,0.000552123615423887,0.000183051000391023
 g__Stutzerimonas_648792,9.496954498865122e-05,0.0005121619838903,0.0008995425157055999,0.0005022246815281,0.0003285407943646
 g__Helcococcus,0.0004286700850950556,0.0006139711339588,0.00045065406444114154,0.0004977650944983305,0.0003449385843259829
 g__Moryella,0.0009046630991782,0.0003698909400968,0.0002632925479007,0.0005126155290585,0.0002806145366063
 g__Limnovirga,0.0,0.0005624108562104,0.0008849626962615,0.0004824578508239,0.00038652964534369996
 g__Mediannikoviicoccus,0.0006026511347888346,0.00043120062201561254,0.0005312686951128252,0.0005217068173057728,0.0001877055169797725
 g__Leptotrichia_A_993641,0.0002704092851534494,0.0006245965432582999,0.000549087574750836,0.00048136446772089513,0.00028843364295315615
 g__Geodermatophilus,0.0,0.0005913356646977844,0.0007971726772161416,0.0004628361139712753,0.0003551916010306175
 g__Coprococcus_A_121497,1.6731016731016735e-05,0.0003373545113044742,0.0009676425020576445,0.00044057601003107285,0.00042506827788197044
 g__Dermabacter,2.436407279379917e-05,0.0008302119077936,0.0004997663725621,0.0004514474510498,0.0003307554201375
 g__Atopostipes,0.00012804456659749834,0.0008707822409970338,0.00032049328355222335,0.0004397733637156186,0.00031720166902860484
 g__Acetobacter,0.0007991883388274,7.850695314433085e-05,0.0003967158757303411,0.0004248037225673,0.0003075877306877
 g__Kerstersia,0.0003383259493131754,0.0004825569167376,0.0005873927203990465,0.00046942519548329707,0.00012479432341564999
 g__Senegalimassilia,0.0001736159743791,0.0002674247362529106,0.0008391656260473999,0.0004267354455598063,0.00029467912817629505
 g__Cellvibrio,0.00011337116480330186,0.000215466059258,0.0008705980129641,0.0003998117456751277,0.0003612572782456854
 g__Lachnospira,0.0002080714566798752,0.00043698658442552045,0.0006327718471945,0.0004259432960999452,0.0002496883770420141
 g__Enterovirga,0.0003775246607733271,0.00018387406351118337,0.0007082882513087,0.00042322899186439996,0.00024298885730024362
 g__Oribacterium,0.0005568763581515,3.720538060137195e-05,0.0006307605962872759,0.00040828077834672536,0.0002689541009931639
 g__CAG-269,0.0006533226791421571,0.00044510397990745056,7.865636181680343e-05,0.0003923610069554752,0.00030585028762500425
 g__Eremococcus,0.000692223493693,0.0001007747758651,0.0003584835078256,0.0003838272591279605,0.0003301649161101496
