#sample-id	Env	SourceSink	id
900451	Ca-143-ST_skin	Sink	243
900455	Ca-144-HN_skin	Sink	244
900457	Ca-145-LM_skin	Sink	245
900449	Ca-142-AM_skin	Sink	246
900625	Ca-056-DH_skin	Sink	247
900452	Ca-143-ST_skin	Sink	248
900454	Ca-144-HN_skin	Sink	249
900458	Ca-145-LM_skin	Sink	250
900450	Ca-142-AM_nasal	Source	1
900626	Ca-056-DH_nasal	Source	1
900453	Ca-143-ST_nasal	Source	1
900456	Ca-144-HN_nasal	Source	1
900459	Ca-145-LM_nasal	Source	1
900380	Co-146-LK_skin	Sink	251
900378	Co-147-SV_skin	Sink	252
900506	Ca-160-LB_skin	Sink	253
900382	Co-148-IM_skin	Sink	254
900463	Ca-147-LJ_skin	Sink	255
900384	Co-149-LM_skin	Sink	256
900466	Ca-147-LJ_nasal	Source	1
900381	Co-146-LK_nasal	Source	1
900379	Co-147-SV_nasal	Source	1
900507	Ca-160-LB_nasal	Source	1
900383	Co-148-IM_nasal	Source	1
900465	Ca-147-LJ_skin	Sink	257
900385	Co-149-LM_nasal	Source	1
900470	Ca-149-LM_skin	Sink	258
Ca008HN_L	Ca-008-HN_skin	Sink	259
900494	Ca-156-MV_skin	Sink	260
Ca007NK_L	Ca-007-NK_skin	Sink	261
900473	Ca-150-ZS_skin	Sink	262
Co001SM_NL	Co-001-SM_skin	Sink	263
900500	Ca-158-LC_skin	Sink	264
Co002MP_PN	Co-002-MP_nasal	Source	1
900503	Ca-159-AS_skin	Sink	265
Ca008HN_NL	Ca-008-HN_skin	Sink	266
900495	Ca-156-MV_skin	Sink	267
Ca007NK_NL	Ca-007-NK_skin	Sink	268
900474	Ca-150-ZS_skin	Sink	269
Co001SM_PN	Co-001-SM_nasal	Source	1
900501	Ca-158-LC_skin	Sink	270
Co003LT_NL	Co-003-LT_skin	Sink	271
900504	Ca-159-AS_skin	Sink	272
Ca008HN_PN	Ca-008-HN_nasal	Source	1
900496	Ca-156-MV_nasal	Source	1
Ca007NK_PN	Ca-007-NK_nasal	Source	1
900475	Ca-150-ZS_nasal	Source	1
Co002MP_NL	Co-002-MP_skin	Sink	273
900502	Ca-158-LC_nasal	Source	1
Co003LT_PN	Co-003-LT_nasal	Source	1
900505	Ca-159-AS_nasal	Source	1
900508	Ca-161-OM_skin	Sink	274
900386	Co-150-LN_skin	Sink	275
900471	Ca-149-LM_skin	Sink	276
900125	Ca-009-ZN_skin	Sink	277
900318	Co-123-LZ_nasal	Source	1
900076	Ca-0006-KM_skin	Sink	278
900509	Ca-161-OM_skin	Sink	279
900387	Co-150-LN_nasal	Source	1
900472	Ca-149-LM_nasal	Source	1
900136	Co-016-CB_nasal	Source	1
900127	Ca-008-AF_skin	Sink	280
900317	Co-123-LZ_skin	Sink	281
900497	Ca-157-LM_skin	Sink	282
900498	Ca-157-LM_skin	Sink	283
900510	Ca-161-OM_nasal	Source	1
900388	Co-151-AN_skin	Sink	284
900389	Co-151-AN_nasal	Source	1
900135	Co-016-CB_skin	Sink	285
900126	Ca-009-ZN_nasal	Source	1
900394	Ca-123-PG_skin	Sink	286
900499	Ca-157-LM_nasal	Source	1
900391	Co-152-AF_nasal	Source	1
900391_2	Co-152-AF_nasal	Source	1
900392	Co-153-YM_skin	Sink	287
900392_2	Co-153-YM_skin	Sink	288
900393	Co-153-YM_nasal	Source	1
900393_2	Co-153-YM_nasal	Source	1
900395	Ca-123-PG_skin	Sink	289
900395_2	Ca-123-PG_skin	Sink	290
900396	Ca-123-PG_nasal	Source	1
900396_2	Ca-123-PG_nasal	Source	1
900397	Ca-125-IM_skin	Sink	291
900397_2	Ca-125-IM_skin	Sink	292
900398	Ca-125-IM_skin	Sink	293
900398_2	Ca-125-IM_skin	Sink	294
900399	Ca-125-IM_nasal	Source	1
900399_2	Ca-125-IM_nasal	Source	1
900400	Ca-124-AB_skin	Sink	295
900400_2	Ca-124-AB_skin	Sink	296
900401	Ca-124-AB_skin	Sink	297
900401_2	Ca-124-AB_skin	Sink	298
900402	Ca-124-AB_nasal	Source	1
900402_2	Ca-124-AB_nasal	Source	1
900403	Ca-126-KB_skin	Sink	299
900403_2	Ca-126-KB_skin	Sink	300
Ca006ON_L	Ca-006-ON_skin	Sink	301
Ca006ON_L_2	Ca-006-ON_skin	Sink	302
Ca006ON_NL	Ca-006-ON_skin	Sink	303
Ca006ON_NL_2	Ca-006-ON_skin	Sink	304
Ca006ON_PN	Ca-006-ON_nasal	Source	1
Ca006ON_PN_2	Ca-006-ON_nasal	Source	1
